Date,Open,Close,sma_20,mad,sigma,z,regime,days_in,p_up,base_p_up,price_vel_5,dmad_5,mad_price_contrib_5,mad_sma_contrib_5,price_share_5,sig_cross_up,sig_rollback
1993-01-29,24.1304,24.1133,,,,,,,,,,,,,,False,False
1993-02-01,24.1304,24.2848,,,,,,,,,,,,,,False,False
1993-02-02,24.2676,24.3362,,,,,,,,,,,,,,False,False
1993-02-03,24.3705,24.5935,,,,,,,,,,,,,,False,False
1993-02-04,24.6792,24.6964,,,,,,,,,,,,,,False,False
1993-02-05,24.6792,24.6792,,,,,,,,,0.02347,,,,,False,False
1993-02-08,24.6792,24.6792,,,,,,,,,0.016242,,,,,False,False
1993-02-09,24.5935,24.5077,,,,,,,,,0.007047,,,,,False,False
1993-02-10,24.5077,24.542,,,,,,,,,-0.002092,,,,,False,False
1993-02-11,24.5763,24.6621,,,,,,,,,-0.001388,,,,,False,False
1993-02-12,24.6278,24.4734,,,,,,,,,-0.008338,,,,,False,False
1993-02-16,24.4048,23.856,,,,,,,,,-0.033356,,,,,False,False
1993-02-17,23.856,23.8389,,,,,,,,,-0.027291,,,,,False,False
1993-02-18,24.1133,23.8217,,,,,,,,,-0.02935,,,,,False,False
1993-02-19,23.8217,23.9075,,,,,,,,,-0.030598,,,,,False,False
1993-02-22,23.976,23.9932,,,,,,,,,-0.019622,,,,,False,False
1993-02-23,24.0618,23.9761,,,,,,,,,0.005033,,,,,False,False
1993-02-24,23.9932,24.2848,,,,,,,,,0.018705,,,,,False,False
1993-02-25,24.2676,24.3362,,,,,,,,,0.021599,,,,,False,False
1993-02-26,24.3877,24.3705,24.2976,0.2991,,,,,,,0.019369,,1.8944,,,False,False
1993-03-01,24.4563,24.3019,24.3071,-0.0212,,,,,,,0.012867,,1.2706,,,False,False
1993-03-02,24.3191,24.6621,24.3259,1.363,,,,,,,0.028613,,2.7437,,,False,False
1993-03-03,24.6964,24.765,24.3474,1.6863,,,,,,,0.019774,,1.9063,,,False,False
1993-03-04,24.7993,24.6278,24.3491,1.1316,,,,,,,0.01198,,1.1704,,,False,False
1993-03-05,24.6621,24.5592,24.3422,0.8834,,,,,,,0.007741,0.5843,0.7613,-0.1816,0.8074,False,False
1993-03-08,24.6106,25.108,24.3637,2.9645,,,,,,,0.033169,2.9857,3.1152,-0.2254,0.9325,False,False
1993-03-09,25.0565,25.0222,24.3808,2.5634,,,,,,,0.014604,1.2004,1.4024,-0.2193,0.8648,False,False
1993-03-10,25.0222,25.0737,24.4091,2.6504,,,,,,,0.012465,0.9641,1.1985,-0.2462,0.8296,False,False
1993-03-11,25.0908,25.0051,24.4323,2.2908,,,,,,,0.015321,1.1592,1.4744,-0.3327,0.8159,False,False
1993-03-12,24.7993,24.7478,24.4365,1.2578,,,,,,,0.007682,0.3745,0.7528,-0.3812,0.6639,False,False
1993-03-15,24.7307,24.8679,24.4563,1.6552,,,,,,,-0.009563,-1.3093,-0.9495,-0.3724,-0.7183,False,False
1993-03-16,24.8679,24.8679,24.5069,1.4517,,,,,,,-0.006169,-1.1117,-0.6117,-0.5069,-0.5468,False,False
1993-03-17,24.8336,24.7135,24.5506,0.6592,,,,,,,-0.014364,-1.9912,-1.4477,-0.5725,-0.7166,False,False
1993-03-18,24.8164,24.8679,24.6029,1.0655,,,,,,,-0.005487,-1.2253,-0.5458,-0.6862,-0.443,False,False
1993-03-19,24.9681,24.8302,24.649,0.7298,,,,,,,0.00333,-0.5281,0.3295,-0.8558,0.278,False,False
1993-03-22,24.589,24.6924,24.684,0.034,,,,,,,-0.007057,-1.6212,-0.7104,-0.9223,-0.4351,False,False
1993-03-23,24.7613,24.7441,24.7224,0.0876,,,,,,,-0.004978,-1.3641,-0.4999,-0.8711,-0.3646,False,False
1993-03-24,24.7096,24.7441,24.7454,-0.0052,,,,,,,0.001237,-0.6644,0.1235,-0.7872,0.1356,False,False
1993-03-25,24.7613,24.8992,24.7735,0.5047,,,,,,,0.001258,-0.5609,0.125,-0.6852,0.1543,False,False
1993-03-26,24.8819,24.7613,24.7931,-0.1282,,,,,,,-0.002776,-0.8579,-0.2787,-0.5816,-0.324,False,False
1993-03-29,24.7786,24.8647,24.8212,0.175,,,,,,,0.006978,0.141,0.6918,-0.5518,0.5563,False,False
1993-03-30,24.8992,24.9336,24.8348,0.3964,,,,,,,0.00766,0.3088,0.7572,-0.4507,0.6269,False,False
1993-03-31,25.0026,24.9164,24.8423,0.2972,,,,,,,0.006964,0.3024,0.6895,-0.3892,0.6392,False,False
1993-04-01,24.9509,24.8302,24.8525,-0.0895,,,,,,,-0.002768,-0.5942,-0.2778,-0.318,-0.4663,False,False
1993-04-02,24.6235,24.3133,24.8402,-2.167,,,,,,,-0.018094,-2.0389,-1.8826,-0.1938,-0.9067,False,False
