variant,entry_date,exit_date,days_held,entry_open,exit_open,trade_return
R1_confirmed,1994-03-17,1994-04-29,30,26.4946,25.392,-0.041617
R1_confirmed,1994-05-18,1994-05-24,5,25.5865,25.8076,0.008639
R1_confirmed,1994-07-15,1994-07-20,4,25.8269,25.8625,0.001379
R1_confirmed,1994-09-16,1994-10-21,26,26.933,26.7182,-0.007979
R1_confirmed,1994-10-27,1994-11-02,5,26.6823,26.8256,0.005369
R1_confirmed,1994-11-09,1994-12-21,30,27.1211,26.3987,-0.026636
R1_confirmed,1995-03-13,1995-03-16,4,28.4384,28.5557,0.004125
R1_confirmed,1995-05-23,1995-05-30,5,30.6431,30.5977,-0.001481
R1_confirmed,1995-06-13,1995-06-27,11,31.1331,31.7449,0.019651
R1_confirmed,1995-08-07,1995-09-27,37,32.7762,34.034,0.038373
R1_confirmed,1995-10-13,1995-10-23,7,34.4744,34.3827,-0.002662
R1_confirmed,1995-10-31,1995-11-07,6,34.4836,34.6488,0.00479
R1_confirmed,1995-12-20,1996-01-05,11,36.3125,36.2294,-0.002288
R1_confirmed,1996-01-22,1996-01-26,5,36.174,36.4326,0.007147
R1_confirmed,1996-03-05,1996-04-04,23,38.473,38.9128,0.011431
R1_confirmed,1996-04-23,1996-05-30,27,38.5326,39.7289,0.031047
R1_confirmed,1996-06-25,1996-08-22,42,40.0513,39.8276,-0.005586
R1_confirmed,1996-09-10,1996-10-01,16,39.753,41.2039,0.036498
R1_confirmed,1996-10-30,1996-12-04,25,42.3565,44.9054,0.060177
R1_confirmed,1996-12-10,1996-12-31,15,45.3177,45.3709,0.001174
R1_confirmed,1997-01-06,1997-01-14,7,45.2579,46.2184,0.021224
R1_confirmed,1997-03-06,1997-04-25,36,48.5915,46.6223,-0.040526
R1_confirmed,1997-08-12,1997-09-25,32,57.2237,57.4526,0.004
R1_confirmed,1997-10-22,1997-11-25,25,59.3385,58.2908,-0.017657
R1_confirmed,1997-12-16,1998-02-25,48,59.2623,63.4953,0.071427
R1_confirmed,1998-05-01,1998-07-22,57,68.5878,71.6345,0.04442
R1_confirmed,1998-08-26,1998-09-28,23,66.6703,65.0714,-0.023982
R1_confirmed,1998-12-07,1999-01-05,20,72.9495,76.2141,0.044751
R1_confirmed,1999-01-19,1999-03-10,36,77.6767,79.6431,0.025315
R1_confirmed,1999-03-26,1999-04-15,14,79.9334,82.9241,0.037415
R1_confirmed,1999-04-22,1999-07-14,58,83.9728,87.265,0.039205
R1_confirmed,1999-08-17,1999-08-27,9,83.7978,85.3171,0.018131
R1_confirmed,1999-09-02,1999-11-24,59,82.3563,87.9796,0.068279
R1_confirmed,1999-12-02,1999-12-07,4,87.9014,89.5618,0.018889
R1_confirmed,1999-12-10,2000-01-04,17,88.9367,89.9382,0.011261
R1_confirmed,2000-01-14,2000-04-05,57,91.8181,92.8956,0.011735
R1_confirmed,2000-05-02,2000-06-07,26,91.4036,92.1104,0.007732
R1_confirmed,2000-06-27,2000-07-18,15,91.9238,94.8459,0.031789
R1_confirmed,2000-08-08,2000-11-02,62,92.8782,90.3694,-0.027011
R1_confirmed,2000-12-06,2001-01-26,35,86.9765,85.581,-0.016044
R1_confirmed,2001-04-11,2001-04-17,4,75.4141,74.4808,-0.012376
R1_confirmed,2001-06-06,2001-10-18,91,81.7949,68.9078,-0.157554
R1_confirmed,2001-11-02,2001-11-19,12,69.3041,73.4454,0.059756
R1_confirmed,2001-12-05,2002-03-14,68,73.8864,74.4163,0.007172
R1_confirmed,2002-05-15,2002-08-13,63,70.4234,58.1816,-0.173831
R1_confirmed,2002-11-15,2002-11-25,7,58.3452,60.5688,0.038111
R1_confirmed,2002-12-09,2003-03-25,73,59.0389,56.736,-0.039006
R1_confirmed,2003-04-02,2003-04-25,17,57.2593,59.7187,0.042952
R1_confirmed,2003-05-23,2003-06-09,11,61.1773,64.6047,0.056025
R1_confirmed,2003-07-03,2003-09-05,45,65.0351,67.5755,0.039063
R1_confirmed,2003-10-03,2003-12-22,56,68.316,72.0287,0.054346
R1_confirmed,2004-02-03,2004-04-14,50,75.306,74.8192,-0.006464
R1_confirmed,2004-04-23,2004-06-04,30,76.0218,75.065,-0.012585
R1_confirmed,2004-08-03,2004-08-31,21,73.9721,73.792,-0.002434
R1_confirmed,2004-10-04,2004-10-08,5,76.4026,75.7665,-0.008326
R1_confirmed,2004-10-12,2004-11-22,30,75.1304,78.6909,0.047391
R1_confirmed,2004-12-09,2004-12-16,6,79.3423,81.075,0.021839
R1_confirmed,2005-02-01,2005-02-08,6,79.7913,81.0869,0.016237
R1_confirmed,2005-02-25,2005-03-09,9,81.1544,82.3015,0.014135
R1_confirmed,2005-03-15,2005-06-01,55,81.9303,80.9651,-0.011782
R1_confirmed,2005-07-06,2005-07-19,10,81.8835,83.4615,0.019271
R1_confirmed,2005-08-10,2005-09-14,25,84.2165,84.1621,-0.000646
R1_confirmed,2005-09-30,2005-12-01,44,83.7553,86.0777,0.027728
R1_confirmed,2005-12-22,2006-01-17,16,86.7331,88.0309,0.014963
