ticker,variant,days_in_trade,bh_days,exposure_pct,round_trips,win_rate,avg_trade_return,med_days_per_trade,total_return,deployed_cagr,edge_vs_bh,intrade_sharpe,maxdd,bps_per_day,beat_bh_deployed_cagr,beat_bh_bps,beat_bh_intrade_sharpe
A,buy_and_hold,2514,2514,100.0,0,,,,2.2545,0.1256,0.0,0.568,-0.4462,4.69,False,False,False
A,R1_confirmed,1404,2514,55.8,53,0.774,0.0246,20.0,2.3466,0.2421,0.1165,0.893,-0.4028,8.6,True,True,True
A,R1_share_ge50,1061,2514,42.2,45,0.733,0.0188,19.0,1.143,0.1985,0.0729,0.758,-0.3759,7.18,True,True,True
A,ANT_pup50,1840,2514,73.2,53,0.792,0.0286,27.0,2.5687,0.1903,0.0647,0.756,-0.3738,6.91,True,True,True
A,ANT_pup60,1824,2514,72.6,52,0.788,0.0273,28.0,2.251,0.1769,0.0513,0.715,-0.3758,6.46,True,True,True
A,ANT_pup70,1758,2514,69.9,52,0.788,0.0268,25.5,2.1727,0.18,0.0544,0.721,-0.3743,6.57,True,True,True
A,ANT_all,1862,2514,74.1,53,0.792,0.028,27.0,2.4314,0.1816,0.056,0.73,-0.4166,6.62,True,True,True
AABA,buy_and_hold,367,367,100.0,0,,,,0.5809,0.3695,0.0,1.287,-0.1689,12.48,False,False,False
AABA,R1_confirmed,177,367,48.2,3,0.667,0.0473,75.0,0.1355,0.1984,-0.1711,0.883,-0.1364,7.18,False,False,False
AABA,R1_share_ge50,152,367,41.4,2,0.5,0.0499,76.0,0.0895,0.1527,-0.2168,0.691,-0.1364,5.64,False,False,False
AABA,ANT_pup50,235,367,64.0,4,0.75,0.0516,63.5,0.2113,0.2282,-0.1413,0.858,-0.1689,8.16,False,False,False
AABA,ANT_pup60,235,367,64.0,4,0.75,0.0516,63.5,0.2113,0.2282,-0.1413,0.858,-0.1689,8.16,False,False,False
AABA,ANT_pup70,212,367,57.8,4,0.75,0.0787,52.0,0.3388,0.4146,0.0451,1.455,-0.13,13.76,True,True,True
AABA,ANT_all,235,367,64.0,4,0.75,0.0516,63.5,0.2113,0.2282,-0.1413,0.858,-0.1689,8.16,False,False,False
AAL,buy_and_hold,2194,2194,100.0,0,,,,-0.74,-0.1434,0.0,-0.04,-0.8454,-6.14,False,False,False
AAL,R1_confirmed,1135,2194,51.7,37,0.676,0.0126,20.0,0.2538,0.0515,0.1949,0.345,-0.468,1.99,True,True,True
AAL,R1_share_ge50,1030,2194,46.9,34,0.647,0.0067,18.0,0.0023,0.0006,0.144,0.248,-0.468,0.02,True,True,True
AAL,ANT_pup50,1728,2194,78.8,38,0.474,-0.0141,42.0,-0.6884,-0.1564,-0.013,-0.069,-0.7692,-6.75,False,False,False
AAL,ANT_pup60,1724,2194,78.6,38,0.447,-0.0173,42.0,-0.7219,-0.1706,-0.0272,-0.103,-0.7844,-7.42,False,False,False
AAL,ANT_pup70,1593,2194,72.6,35,0.486,-0.0125,44.0,-0.6285,-0.145,-0.0016,-0.033,-0.7603,-6.22,False,False,True
AAL,ANT_all,1753,2194,79.9,38,0.447,-0.019,42.0,-0.7429,-0.1774,-0.034,-0.12,-0.8096,-7.75,False,False,False
AAP,buy_and_hold,1924,1924,100.0,0,,,,-0.5488,-0.099,0.0,-0.097,-0.7372,-4.14,False,False,False
AAP,R1_confirmed,1386,1924,72.0,30,0.667,0.0134,21.5,-0.3627,-0.0786,0.0204,-0.028,-0.682,-3.25,True,True,True
AAP,R1_share_ge50,1054,1924,54.8,25,0.6,0.0129,22.0,0.0848,0.0196,0.1186,0.225,-0.5579,0.77,True,True,True
AAP,ANT_pup50,1540,1924,80.0,30,0.7,0.0233,31.0,-0.1663,-0.0293,0.0697,0.116,-0.6725,-1.18,True,True,True
AAP,ANT_pup60,1519,1924,79.0,30,0.733,0.0256,31.0,-0.1066,-0.0185,0.0805,0.147,-0.6453,-0.74,True,True,True
AAP,ANT_pup70,1485,1924,77.2,30,0.733,0.0337,31.0,0.1685,0.0268,0.1258,0.267,-0.5694,1.05,True,True,True
AAP,ANT_all,1611,1924,83.7,30,0.667,0.0128,41.5,-0.392,-0.0749,0.0241,-0.015,-0.6775,-3.09,True,True,True
AAPL,buy_and_hold,2514,2514,100.0,0,,,,9.331,0.2637,0.0,0.951,-0.3873,9.29,False,False,False
AAPL,R1_confirmed,1244,2514,49.5,48,0.75,0.0315,19.0,2.7429,0.3065,0.0428,1.008,-0.3532,10.61,True,True,True
AAPL,R1_share_ge50,801,2514,31.9,36,0.806,0.0404,15.5,2.8356,0.5264,0.2627,1.57,-0.3228,16.78,True,True,True
AAPL,ANT_pup50,1740,2514,69.2,51,0.686,0.0365,30.0,4.0267,0.2635,-0.0002,0.908,-0.3685,9.28,False,False,False
AAPL,ANT_pup60,1681,2514,66.9,51,0.706,0.037,27.0,4.1622,0.279,0.0153,0.947,-0.3685,9.76,True,True,False
AAPL,ANT_pup70,1267,2514,50.4,41,0.683,0.0279,26.0,1.623,0.2114,-0.0523,0.748,-0.3685,7.61,False,False,False
AAPL,ANT_all,1779,2514,70.8,51,0.686,0.0361,30.0,3.9564,0.2545,-0.0092,0.887,-0.3616,9.0,False,False,False
ABBV,buy_and_hold,2514,2514,100.0,0,,,,2.857,0.1449,0.0,0.65,-0.4888,5.37,False,False,False
ABBV,R1_confirmed,1671,2514,66.5,35,0.714,0.0235,37.0,1.0052,0.1106,-0.0343,0.549,-0.4613,4.16,False,False,False
ABBV,R1_share_ge50,1389,2514,55.3,30,0.733,0.02,33.0,0.68,0.0987,-0.0462,0.502,-0.4451,3.73,False,False,False
ABBV,ANT_pup50,1954,2514,77.7,35,0.657,0.0251,45.0,1.1115,0.1012,-0.0437,0.5,-0.4977,3.83,False,False,False
ABBV,ANT_pup60,1939,2514,77.1,35,0.657,0.023,45.0,0.9725,0.0923,-0.0526,0.469,-0.4977,3.5,False,False,False
ABBV,ANT_pup70,1784,2514,71.0,32,0.625,0.0191,42.5,0.6326,0.0717,-0.0732,0.394,-0.5071,2.75,False,False,False
ABBV,ANT_all,1956,2514,77.8,35,0.657,0.0257,45.0,1.1505,0.1037,-0.0412,0.509,-0.4977,3.91,False,False,False
ABC,buy_and_hold,1927,1927,100.0,0,,,,0.7354,0.0748,0.0,0.395,-0.3321,2.86,False,False,False
ABC,R1_confirmed,1164,1927,60.4,37,0.676,0.0121,21.0,0.3598,0.0688,-0.006,0.389,-0.2725,2.64,False,False,False
ABC,R1_share_ge50,861,1927,44.7,27,0.667,0.0057,20.0,0.0415,0.012,-0.0628,0.174,-0.3158,0.47,False,False,False
ABC,ANT_pup50,1531,1927,79.4,39,0.692,0.0174,36.0,0.7389,0.0953,0.0205,0.458,-0.3278,3.61,True,True,True
ABC,ANT_pup60,1486,1927,77.1,38,0.711,0.0206,36.5,0.9104,0.116,0.0412,0.531,-0.2817,4.36,True,True,True
